analysis,sla_locus,hla_subgroup,hla_locus,n_sla_sequences,mean_ensemble_probability,median_ensemble_probability,summed_ensemble_probability,sd_across_seeds,loo_mean_min,loo_mean_max,frac_sequences_top_subgroup,n_sequences_top_subgroup,mean_seeds_voting_this_subgroup
class2,SLA-DQB1,DQB103,DQB1,53,0.190295,0.126948,10.085651,0.085828,0.163007,0.216678,0.3585,19,1.1509
class2,SLA-DQB1,DQB104,DQB1,53,0.074615,0.051129,3.954574,0.074168,0.047835,0.089094,0.0566,3,0.3585
class2,SLA-DQB1,DQB105,DQB1,53,0.038133,0.023607,2.021026,0.023991,0.032316,0.046899,0.0,0,0.1132
class2,SLA-DQB1,DQB106,DQB1,53,0.120169,0.100649,6.368965,0.108005,0.080949,0.147099,0.0377,2,0.6604
class2,SLA-DQB1,DQB1_Other,DQB1,53,0.001908,0.001921,0.101122,0.000357,0.001831,0.002054,0.0,0,0.0
class2,SLA-DQB1,DRB101,DRB1,53,0.2341,0.181478,12.407274,0.204379,0.16131,0.285552,0.3585,19,1.434
class2,SLA-DQB1,DRB103,DRB1,53,0.006675,0.005452,0.353795,0.005139,0.004678,0.007725,0.0,0,0.0
class2,SLA-DQB1,DRB104,DRB1,53,0.026336,0.004513,1.395793,0.043859,0.006788,0.032324,0.0,0,0.1321
class2,SLA-DQB1,DRB107,DRB1,53,0.031475,0.023456,1.668168,0.03159,0.019416,0.037927,0.0,0,0.0377
class2,SLA-DQB1,DRB108,DRB1,53,0.007509,0.004,0.397969,0.003242,0.006368,0.008477,0.0,0,0.0
class2,SLA-DQB1,DRB111,DRB1,53,0.003332,0.002846,0.176613,0.00136,0.00299,0.00378,0.0,0,0.0
class2,SLA-DQB1,DRB112,DRB1,53,0.012682,0.005957,0.672143,0.01278,0.007349,0.015236,0.0,0,0.0
class2,SLA-DQB1,DRB113,DRB1,53,0.002455,0.002213,0.130114,0.000793,0.002197,0.00271,0.0,0,0.0
class2,SLA-DQB1,DRB114,DRB1,53,0.003396,0.003145,0.179986,0.001223,0.003102,0.003767,0.0,0,0.0
class2,SLA-DQB1,DRB115,DRB1,53,0.009785,0.009895,0.518583,0.005383,0.007993,0.011144,0.0,0,0.0
class2,SLA-DQB1,DRB116,DRB1,53,0.012422,0.01178,0.658392,0.005227,0.010377,0.013371,0.0,0,0.0
class2,SLA-DQB1,DRB1_Other,DRB1,53,0.069595,0.061191,3.688532,0.051649,0.05104,0.084579,0.0,0,0.4528
class2,SLA-DQB1,DRB3_Other,DRB3,53,0.004488,0.004045,0.237843,0.003278,0.003147,0.00533,0.0,0,0.0
class2,SLA-DQB1,DRB4_Other,DRB4,53,0.014574,0.012104,0.77241,0.003112,0.013857,0.015789,0.0,0,0.0
class2,SLA-DQB1,DRB5_Other,DRB5,53,0.011312,0.009009,0.599518,0.006937,0.008957,0.01341,0.0,0,0.0
class2,SLA-DQB1,DPB1_Other,DPB1,53,0.007284,0.006365,0.386028,0.001779,0.006732,0.00782,0.0,0,0.0
class2,SLA-DRB1,DQB102,DQB1,99,0.004496,0.004768,0.44513,0.001574,0.003874,0.004889,0.0,0,0.0
class2,SLA-DRB1,DQB103,DQB1,99,0.004066,0.003667,0.402501,0.001824,0.003384,0.004659,0.0,0,0.0
class2,SLA-DRB1,DQB104,DQB1,99,0.008277,0.008738,0.81945,0.005361,0.005999,0.009433,0.0,0,0.0
class2,SLA-DRB1,DQB105,DQB1,99,0.00477,0.004459,0.472265,0.000842,0.004497,0.005065,0.0,0,0.0
class2,SLA-DRB1,DQB106,DQB1,99,0.004107,0.002512,0.406584,0.002676,0.002943,0.004584,0.0,0,0.0101
class2,SLA-DRB1,DQB1_Other,DQB1,99,0.001561,0.001647,0.154558,0.000392,0.001456,0.001681,0.0,0,0.0
class2,SLA-DRB1,DRB101,DRB1,99,0.200689,0.148557,19.868168,0.064999,0.176867,0.222094,0.2727,27,1.2222
class2,SLA-DRB1,DRB103,DRB1,99,0.015166,0.006859,1.501442,0.01287,0.010993,0.018112,0.0,0,0.0202
class2,SLA-DRB1,DRB104,DRB1,99,0.157434,0.010776,15.586015,0.130409,0.103423,0.188554,0.2525,25,0.8485
class2,SLA-DRB1,DRB107,DRB1,99,0.053813,0.044008,5.327441,0.036632,0.042968,0.063065,0.0,0,0.1515
class2,SLA-DRB1,DRB108,DRB1,99,0.005876,0.004625,0.581698,0.003261,0.004678,0.006634,0.0,0,0.0
class2,SLA-DRB1,DRB111,DRB1,99,0.010005,0.003068,0.990518,0.005856,0.007672,0.011696,0.0,0,0.0
class2,SLA-DRB1,DRB112,DRB1,99,0.026155,0.025877,2.589377,0.018846,0.019386,0.030955,0.0,0,0.0404
class2,SLA-DRB1,DRB113,DRB1,99,0.055658,0.002713,5.510136,0.050202,0.036771,0.067305,0.0303,3,0.303
class2,SLA-DRB1,DRB114,DRB1,99,0.015172,0.004571,1.502059,0.012692,0.010113,0.018139,0.0,0,0.0303
class2,SLA-DRB1,DRB115,DRB1,99,0.046131,0.013807,4.566943,0.025006,0.038687,0.053947,0.0606,6,0.2626
class2,SLA-DRB1,DRB116,DRB1,99,0.013718,0.010712,1.358079,0.003306,0.013013,0.015003,0.0,0,0.0
class2,SLA-DRB1,DRB1_Other,DRB1,99,0.174311,0.128816,17.256824,0.061587,0.160937,0.192639,0.2626,26,1.2222
class2,SLA-DRB1,DRB3_Other,DRB3,99,0.101682,0.03234,10.066549,0.09599,0.072959,0.12457,0.1111,11,0.6263
class2,SLA-DRB1,DRB4_Other,DRB4,99,0.043708,0.031378,4.327098,0.012232,0.040087,0.047395,0.0,0,0.101
class2,SLA-DRB1,DRB5_Other,DRB5,99,0.045391,0.031623,4.493757,0.028807,0.033757,0.050733,0.0,0,0.1414
class2,SLA-DRB1,DPB1_Other,DPB1,99,0.007812,0.005265,0.77341,0.002961,0.006938,0.008624,0.0101,1,0.0202
